 Position_of_the_Songs_the_Chart_that_Day,Position_Change_that_Day, How_Many_Days_at_Position,Highest_Position_Reached,How_Many_Times_at_Position,Points_Total,Extra_Points_that_Day,Artist,Title
9,NEW,1,9,0,9453,9453,Marilyn Manson , As Sick As The Secrets Within
10,-2,43,1,(x1),9284,-194,Coldplay , feelslikeimfallinginlove
11,-5,390,1,(x6),9091,-1223,Teddy Swims , Lose Control
12,-2,85,9,0,8748,-486,Myles Smith , Stargazing
13,-1,64,1,(x21),8733,229,Eminem , Houdini
14,-3,260,5,0,8521,-198,Cyril , Stumblin' In
15,-2,113,1,(x1),8107,-243,Sabrina Carpenter , Espresso
16,-1,91,14,0,7108,-287,Chappell Roan ," Good Luck, Babe"
17,-10,15,1,(x9),7071,-2590,Jimin , Who
18,-2,196,13,0,6539,-341,Teddy Swims , The Door
19,-5,120,3,(x1),6474,-1132,David Guetta & OneRepublic , I Don't Wanna Wait
20,-3,151,10,0,6047,-113,Dasha , Austin
21,6,57,9,0,5616,905,Sabrina Carpenter , Please Please Please
22,3,90,5,0,5393,347,Kendrick Lamar , Not Like Us
23,-5,8,11,0,5329,-801,mgk & Jelly Roll , Lonely Road
24,-5,135,11,0,5158,-428,Mark Ambor , Belong Together
25,-1,49,24,0,4927,-223,"Adam Port, Stryv, Keinemusik, Orso & Malachiii ", Move
26,-4,43,22,0,4760,-476,KAROL G , Si Antes Te Hubiera Conocido
27,-1,86,5,0,4650,-234,Post Malone , I Had Some Help
28,-5,37,23,0,4592,-575,"Sevdaliza, Pabllo Vittar & Yseult ", Alibi
29,-9,120,7,0,4442,-1118,"Jaxomy, Agatino Romero & Raffaella CarrÃ  ", Pedro
